,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.06
1,20,1.0,199,4000,-0.04
2,20,0.0,299,6000,0.03
3,20,0.0,399,8000,0.06
4,20,1.0,499,10000,0.09
5,20,0.0,599,12000,0.11
6,20,0.0,699,14000,0.17
7,20,1.0,799,16000,0.23
8,20,1.0,899,18000,0.23
9,20,-2.0,999,20000,0.23
10,20,0.0,1099,22000,0.16
11,20,1.0,1199,24000,0.17
12,20,1.0,1299,26000,0.34
13,20,0.0,1399,28000,0.13
14,20,0.0,1499,30000,0.29
15,20,0.0,1599,32000,0.25
16,20,0.0,1699,34000,0.29
17,20,1.0,1799,36000,0.34
18,20,1.0,1899,38000,0.49
19,20,0.0,1999,40000,0.22
20,20,0.0,2099,42000,0.38
21,20,0.0,2199,44000,0.47
22,20,1.0,2299,46000,0.49
23,20,0.0,2399,48000,0.51
24,20,0.0,2499,50000,0.4
25,20,2.0,2599,52000,0.46
26,20,0.0,2699,54000,0.5
27,20,0.0,2799,56000,0.5
28,20,0.0,2899,58000,0.59
29,20,1.0,2999,60000,0.54
30,20,1.0,3099,62000,0.55
31,20,1.0,3199,64000,0.4
32,20,0.0,3299,66000,0.56
33,20,0.0,3399,68000,0.55
34,20,1.0,3499,70000,0.5
35,20,2.0,3599,72000,0.56
36,20,0.0,3699,74000,0.47
37,20,1.0,3799,76000,0.66
38,20,1.0,3899,78000,0.56
39,20,1.0,3999,80000,0.48
40,20,0.0,4099,82000,0.54
41,20,0.0,4199,84000,0.6
42,20,0.0,4299,86000,0.6
43,20,1.0,4399,88000,0.54
44,20,1.0,4499,90000,0.76
45,20,2.0,4599,92000,0.73
46,20,0.0,4699,94000,0.62
47,20,1.0,4799,96000,0.62
48,20,0.0,4899,98000,0.72
49,20,0.0,4999,100000,0.71
50,20,0.0,5099,102000,0.63
51,20,1.0,5199,104000,0.66
52,20,1.0,5299,106000,0.61
53,20,0.0,5399,108000,0.61
54,20,1.0,5499,110000,0.55
55,20,2.0,5599,112000,0.6
56,20,1.0,5699,114000,0.75
57,20,0.0,5799,116000,0.72
58,20,1.0,5899,118000,0.5
59,20,0.0,5999,120000,0.58
60,20,1.0,6099,122000,0.61
61,20,1.0,6199,124000,0.65
62,20,1.0,6299,126000,0.71
63,20,0.0,6399,128000,0.54
64,20,0.0,6499,130000,0.63
65,20,0.0,6599,132000,0.62
66,20,0.0,6699,134000,0.65
67,20,1.0,6799,136000,0.73
68,20,2.0,6899,138000,0.66
69,20,1.0,6999,140000,0.64
70,20,0.0,7099,142000,0.6
71,20,0.0,7199,144000,0.59
72,20,0.0,7299,146000,0.72
73,20,0.0,7399,148000,0.75
74,20,1.0,7499,150000,0.76
75,20,0.0,7599,152000,0.66
76,20,1.0,7699,154000,0.68
77,20,1.0,7799,156000,0.64
78,20,1.0,7899,158000,0.75
79,20,1.0,7999,160000,0.67
80,20,2.0,8099,162000,0.82
81,20,1.0,8199,164000,0.68
82,20,1.0,8299,166000,0.66
83,20,1.0,8399,168000,0.75
84,20,2.0,8499,170000,0.84
85,20,1.0,8599,172000,0.77
86,20,0.0,8699,174000,0.76
87,20,2.0,8799,176000,0.87
88,20,0.0,8899,178000,0.69
89,20,1.0,8999,180000,0.73
90,20,1.0,9099,182000,0.63
91,20,0.0,9199,184000,0.67
92,20,0.0,9299,186000,0.74
93,20,0.0,9399,188000,0.76
94,20,1.0,9499,190000,0.8
95,20,2.0,9599,192000,0.71
96,20,1.0,9699,194000,0.76
97,20,1.0,9799,196000,0.71
98,20,0.0,9899,198000,0.63
99,20,2.0,9999,200000,0.81
